owner,model_file,artifact_path,task_family,eligibility,reason,required_feature_count,threshold_used,threshold_source
hsj,07_random_forest_baseline.joblib,01_압축해제\hsj\share_mvp\models\07_random_forest_baseline.joblib,pre_event_candidate,excluded_task_family,target_mismatch:pre_event_candidate,354,0.5,default_0.5
hsj,08_isolation_forest.joblib,01_압축해제\hsj\share_mvp\models\08_isolation_forest.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,354,0.5,default_0.5
hsj,09_lightgbm_model.joblib,01_압축해제\hsj\share_mvp\models\09_lightgbm_model.joblib,pre_event_candidate,excluded_task_family,target_mismatch:pre_event_candidate,354,0.5,model_object
osj,isolation_forest.joblib,01_압축해제\osj\model_handoff_osj\anomaly\isolation_forest.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,195,0.99,threshold_quantile
osj,mahalanobis_ledoitwolf.joblib,01_압축해제\osj\model_handoff_osj\anomaly\mahalanobis_ledoitwolf.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,195,0.99,threshold_quantile
osj,multi_window_raw_12h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_12h.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,131,0.99,threshold_quantile
osj,multi_window_raw_1h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_1h.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,131,0.99,threshold_quantile
osj,multi_window_raw_3h.joblib,01_압축해제\osj\model_handoff_osj\anomaly\multi_window_raw_3h.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,131,0.99,threshold_quantile
osj,standard_scaler.joblib,01_압축해제\osj\model_handoff_osj\anomaly\standard_scaler.joblib,anomaly,excluded_task_family,target_mismatch:anomaly,195,0.99,threshold_quantile
osj,leadtime_model_best.joblib,01_압축해제\osj\model_handoff_osj\leadtime\leadtime_model_best.joblib,leadtime,excluded_task_family,target_mismatch:leadtime,454,0.5,default_0.5
osj,risk_model_best.joblib,01_압축해제\osj\model_handoff_osj\risk\risk_model_best.joblib,risk,excluded_task_family,target_mismatch:risk,313,0.05,threshold_max_false_positive_rate
nyj,baseline_model.joblib,01_압축해제\nyj\model_handoff\m1_fault_early_detection_2026-07-01\model\baseline_model.joblib,early_detection,excluded_task_family,target_mismatch:early_detection,55,0.75,operating_point.threshold
nyj,hybrid_model.joblib,01_압축해제\nyj\model_handoff\m1_fault_early_detection_2026-07-01\model\hybrid_model.joblib,early_detection,excluded_task_family,target_mismatch:early_detection,85,0.75,operating_point.threshold
ljy,m1_fault_gate_rf_depth3.joblib,01_압축해제\ljy\model_handoff\heatgrid_m1_front_gate_2026-07-01\front_gate\m1_fault_gate_rf_depth3.joblib,front_gate,eligible_locked_front_gate_oof_predictions,canonical_locked_fold_predictions_from_m1_fault_gate_lock_predictions,13,0.5,selected_model.threshold
ljy2,m1_activity_gate_rf_depth3.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\front_gates\m1_activity_gate_rf_depth3.joblib,activity_gate,excluded_task_family,target_mismatch:activity_gate,13,0.5,default_0.5
ljy2,m1_fault_gate_rf_depth3.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\front_gates\m1_fault_gate_rf_depth3.joblib,front_gate,eligible_locked_front_gate_oof_predictions,canonical_locked_fold_predictions_from_m1_fault_gate_lock_predictions,13,0.5,default_0.5
ljy2,m1_task_gate_rf_depth3.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\front_gates\m1_task_gate_rf_depth3.joblib,task_gate,excluded_task_family,target_mismatch:task_gate,13,0.5,default_0.5
ljy2,m1_m2_system_stratified_pre_event_candidate.joblib,01_압축해제\ljy2\heatgrid_project_total_handoff_2026-07-01\pre_event_gate_m1_m2_system\m1_m2_system_stratified_pre_event_candidate.joblib,early_detection,excluded_task_family,target_mismatch:early_detection,13,0.4,fallback_threshold
